0.0040001,-0.47384,0.052662,0.54282,-0.39087,0.10632,0.50097
0.0020257,-0.48167,0.035457,0.5416,-0.39721,0.10547,0.50958
0.023912,-0.49026,0.019435,0.52286,-0.39035,0.10158,0.50971
0.047649,-0.50799,-0.0038602,0.50139,-0.39043,0.10485,0.508
0.058799,-0.51649,0.044141,0.51926,-0.39858,0.10422,0.50916
0.0029718,-0.51956,-0.00049024,0.51392,-0.39208,0.1096,0.50656
0.16532,-0.78926,0.017338,0.45791,-0.39964,0.10849,0.50934
0.075666,-0.48569,-0.017496,0.4896,-0.39321,0.10758,0.50743
0.044216,-0.47911,-0.010473,0.50588,-0.39608,0.10656,0.50171
0.10596,-0.47948,-0.019229,0.49739,-0.39294,0.10032,0.50277
0.033283,-0.4614,-0.027932,0.51615,-0.39954,0.10097,0.50823
0.15222,-0.49082,-0.065504,0.46715,-0.39305,0.10317,0.5095
0.18422,-0.43463,-0.10143,0.43071,-0.39966,0.10439,0.50382
0.12799,-0.47568,-0.088566,0.43954,-0.39235,0.10795,0.50187
0.15515,-0.42716,-0.052045,0.42499,-0.3951,0.10446,0.50646
0.11381,-0.26256,-0.09476,0.37512,-0.39291,0.10755,0.50276
0.083005,-0.42494,-0.029127,0.50078,-0.3932,0.10655,0.50163
0.10113,-0.38795,-0.09773,0.61999,-0.39881,0.10498,0.5096
0.026725,-0.38256,-0.075198,0.52535,-0.3966,0.10585,0.50224
0.11153,-0.30973,-0.005853,0.48485,-0.39249,0.10255,0.50506
0.087823,-0.3557,-0.065287,0.54241,-0.39301,0.10891,0.50959
0.091946,-0.36745,-0.064553,0.47221,-0.39453,0.10139,0.50149
0.074444,-0.3771,-0.10943,0.4686,-0.39742,0.10841,0.50254
0.12776,-0.34964,-0.045613,0.49135,-0.39186,0.10244,0.50929
0.028052,-0.3914,-0.027523,0.55411,-0.3965,0.10197,0.50251
0.0926,-0.34142,0.0012415,0.53094,-0.39384,0.10473,0.50352
0.20081,-0.026789,-0.059695,0.57443,-0.39169,0.10585,0.5055
0.10278,-0.31147,0.054519,0.53875,-0.39083,0.10286,0.50757
0.10722,-0.34121,0.041836,0.58338,-0.39246,0.1038,0.50568
0.14129,-0.33589,0.070217,0.54852,-0.39924,0.10054,0.50531
0.20287,-0.30964,0.094601,0.49706,-0.39221,0.10934,0.5013
0.065074,-0.39421,0.090357,0.55073,-0.39431,0.10469,0.50012
0.091866,-0.37934,0.085796,0.53869,-0.39663,0.10162,0.50794
0.18173,-0.47902,-0.05397,0.4769,-0.39689,0.10529,0.50166
0.11697,-0.41298,0.081345,0.5162,-0.39398,0.10263,0.50654
0.098798,-0.4358,0.10028,0.50835,-0.39311,0.10748,0.5045
